task,template
task902_deceptive_opinion_spam_dataset_sentiment_analysis,{INPUT}
task903_deceptive_opinion_spam_dataset_sentiment_analysis,"Review: {INPUT}
Polarity: {INPUT}"
task904_hate_speech_offensive_toxic_language_detection,{INPUT}
task905_hate_speech_offensive_toxic_language_detection,"Tweet: {INPUT}
Label: {INPUT}"
task909_dialogre_speaker_identification,"Speaker {INPUT}: {INPUT} 
Speaker {INPUT}: {INPUT}"
task923_event2mind_sentiment_analysis,Event:{INPUT} Intent:
task925_coached_conv_pref_speaker_identification,"{INPUT}: {INPUT} , {INPUT}: {INPUT} , {INPUT}: {INPUT} , {INPUT}: {INPUT} , {INPUT}: {INPUT} , {INPUT}: {INPUT}, classify_text: {INPUT}"
task929_generated_reviews_enth_sentiment_analysis,{INPUT}
task935_defeasible_nli_atomic_textual_entailment,"Premise: PersonX {INPUT}
Hypothesis: {INPUT}
Update: {INPUT}"
task936_defeasible_nli_atomic_textual_entailment,"Premise: {INPUT}
Hypothesis: {INPUT}
Update: {INPUT}"
task937_defeasible_nli_atomic_textual_entailment,"Hypothesis: {INPUT}
Update: {INPUT}"
task1135_x_csr_question_answering,"Question: {INPUT} 
 Options: A {INPUT} B {INPUT} C {INPUT} D {INPUT} E {INPUT} "
task1162_coda_19_text_matching,"Paragraph: {INPUT} 
 Title: {INPUT}"
task1163_coda_19_section_classification,{INPUT}
task1164_coda_19_section_classification,"Sentence: {INPUT} 
 Section: {INPUT}"
task1186_human_ratings_of_natural_language_generation_outputs_text_quality_evaluation,"System Reference: {INPUT}
Original Reference: {INPUT}"
task1187_liar_text_categorization,"Statement: {INPUT} 
 Subject: {INPUT}"
task1196_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1197_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1198_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1199_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1200_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1201_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1202_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1203_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1204_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1205_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1206_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1207_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1208_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1209_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1210_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1211_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1212_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1213_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1214_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1215_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1216_atomic_commonsense_classification,Head: {INPUT}<sep>Tail: {INPUT}
task1283_human_ratings_of_natural_language_generation_outputs_text_quality_evaluation,"System Reference: {INPUT}
Original Reference: {INPUT}"
task1284_human_ratings_of_natural_language_generation_outputs_text_quality_evaluation,"System Reference: {INPUT}
Original Reference: {INPUT}"
task1289_trec_question_understanding,{INPUT}
task1308_multilingual_amazon_reviews_text_categorization,"Reviews: {INPUT} 
 Category: {INPUT}"
task1309_multilingual_amazon_reviews_summarization,"Reviews: {INPUT} 
 Summary: {INPUT}"
task1310_multilingual_amazon_reviews_sentiment_analysis,{INPUT}
task1311_multilingual_amazon_reviews_sentiment_analysis,"Review: {INPUT} 
 Rating: {INPUT}"
task1312_multilingual_amazon_reviews_sentiment_analysis,{INPUT}
task1313_multilingual_amazon_reviews_sentiment_analysis,"Review: {INPUT} 
 Polarity: {INPUT}"
task1328_question_&_answer_zre_question_understanding,"Context : {INPUT} 
Question : {INPUT}"
task1336_equity_evaluation_corpus_gender_classification,{INPUT}
task1338_equity_evaluation_corpus_sentiment_analysis,{INPUT}
task1344_rte_textual_entailment,Sentence 1: {INPUT} Sentence 2: {INPUT}
task1346_cola_grammar_error_detection,{INPUT}
task1347_sts_b_text_matching,Sentence 1: {INPUT} Sentence 2: {INPUT}
task1354_sentence_compression_text_matching,Article: {INPUT} Headline: {INPUT}
task1361_movie_rationales_sentiment_analysis,{INPUT}
task1384_deal_or_no_dialog_dialogue_state_tracking,THEM: {INPUT} YOU: {INPUT}
task1391_winogrande_coreference_resolution,{INPUT} _ {INPUT} (A) {INPUT} (B) {INPUT}
task1393_copa_cause_effect_classification,"{INPUT} (A) {INPUT} (B) {INPUT}, Question: {INPUT}"
task1408_dart_text_matching,"[{INPUT}, {INPUT}]"
task1418_bless_word_relation_classification,"Concept: {INPUT}, Relatum: {INPUT}"
task1429_evalution_word_relation_classification,"X: {INPUT}, Y: {INPUT}"
task1431_head_qa_question_answering,"Question: {INPUT} 
 Options:  <1> {INPUT} <2> {INPUT} <3> {INPUT} <4> {INPUT} <5> {INPUT}"
task1434_head_qa_text_categorization,"Question: {INPUT} 
 Options:  <0> {INPUT} <1> {INPUT} <2> {INPUT} <3> {INPUT} <4> {INPUT}"
task1439_doqa_answerability_classification,CONTEXT: {INPUT} <sep>  Q: {INPUT}
task1442_doqa_answerability_classification,CONTEXT: {INPUT} <sep>  Q: {INPUT}
task1488_news_headlines_dataset_for_sarcasm_detection_text_categorization,{INPUT}
task1495_ade_corpus_v2_text_categorization,{INPUT}
task1500_dstc3_dialogue_state_tracking,"System: '{INPUT}'
User: '{INPUT}'"
task1501_dstc3_dialogue_state_tracking,"System: '{INPUT}'
User: '{INPUT}'
Question: 'Did the user {INPUT}'"
task1502_hatexplain_toxic_language_detection,{INPUT}
task1503_hatexplain_toxic_language_detection,{INPUT}
task1505_root09_word_relation_classification,"X: {INPUT}, Y: {INPUT}"
task1516_imppres_textual_entailment,"Premise : '{INPUT}','Hypothesis : {INPUT}'"
task1517_limit_information_extraction,{INPUT}
task1529_scitailv1.1_textual_entailment,"Premise: {INPUT} 
 Hypothesis: {INPUT}"
task1531_dailydialog_dialogue_act_recognition,{INPUT}
task1533_dailydialog_dialogue_act_recognition,"Person1:       {INPUT} 
 Person2:{INPUT}"
task1534_dailydialog_dialogue_act_recognition,"Person1:     {INPUT} 
 Person2:  {INPUT}"
task1535_dailydialog_sentiment_analysis,"Person1:     {INPUT} 
Person2: {INPUT}"
task1536_dailydialog_sentiment_analysis,"Person1:      {INPUT} 
 Person2:  {INPUT}"
task1541_ag_news_text_categorization,{INPUT}
task1548_wiqa_sentence_ordering, [{INPUT} 
task1554_scitail_textual_entailment,Sentence 1: {INPUT} Sentence 2: {INPUT}
task1559_blimp_linguistic_probing,{INPUT}
task1560_blimp_linguistic_probing,{INPUT}
task1583_bless_word_relation_classification,{INPUT} has {INPUT}
task1584_evalution_word_relation_classification,{INPUT} has {INPUT}
task1587_scifact_text_matching,Abstract: {INPUT} Title: {INPUT}
task1589_scifact_text_quality_evaluation,{INPUT}
task1592_yahoo_answers_topics_text_categorization,{INPUT}
task1593_yahoo_answers_topics_text_categorization,{INPUT}
task1599_smcalflow_speaker_identification,{INPUT}
task1604_ethos_toxic_language_detection,{INPUT}
task1612_sick_textual_entailment,sentence_A: {INPUT} sentence_B: {INPUT}
task1615_sick_textual_entailment,sentence_A: {INPUT} sentence_B: {INPUT}
task1623_disfl_qa_text_quality_evaluation,{INPUT}
task1624_disfl_qa_answerability_classification,"proper question: {INPUT} 
 disfluent question: {INPUT} 
 context: {INPUT}"
task1630_open_pi_text_categorization,{INPUT}
task1640_adversarial_qa_answerability_classification,{INPUT} Question: {INPUT}
task1645_medical_question_pair_dataset_text_matching,"Sentence1: {INPUT} 
 Sentence2: {INPUT}"
task1661_boolq_question_answering,"Passage: {INPUT}
Question: {INPUT}"
task1712_poki_text_categorization,{INPUT}
task1720_civil_comments_toxic_language_detection,{INPUT}
task1721_civil_comments_toxic_language_detection,{INPUT}
task1722_civil_comments_toxic_language_detection,{INPUT}
task1723_civil_comments_toxic_language_detection,{INPUT}
task1724_civil_comments_toxic_language_detection,{INPUT}
task1725_civil_comments_toxic_language_detection,{INPUT}
